# ----------------------------------------
# visit.odessa.ua
# Бесплатный поисковый трафик
# 20120822-20120921
# ----------------------------------------

Ключевое слово	Целевая страница	Посещения	Страниц/посещение	Ср. продолж .посещ.	"Новые посещения, %"	Показатель отказов
расписание автобусов одесса николаев	/travel_to_odessa/by_bus/	18	"1,11"	00:01:30	"88,89 %"	"88,89 %"
центральные улицы одессы	/category/sight/streets/	18	"3,11"	00:03:09	"61,11 %"	"77,78 %"
жд вокзал одесса карта	/tag/rajon-vokzala/?map=1	17	"2,35"	00:01:34	"94,12 %"	"76,47 %"
как звонить в одессу из россии	/odessa/kak-pozvonit/	17	"1,24"	00:02:22	"82,35 %"	"76,47 %"
карта одесса	/?map=1	17	"3,65"	00:01:20	"70,59 %"	"58,82 %"
карта поселка котовского одесса	/tag/paskot/?map=1	17	"1,71"	00:01:32	"64,71 %"	"70,59 %"
киев одесса поезд цена	/travel_to_odessa/from-kiev/by_train/	17	"4,71"	00:03:56	"82,35 %"	"64,71 %"
колоннада в одессе	/sight/kolonnada/	17	"2,47"	00:01:06	"94,12 %"	"70,59 %"
маршрутки киев одесса	/travel_to_odessa/from-kiev/by_bus/	17	"1,12"	00:00:45	"82,35 %"	"88,24 %"
одесса дешевые гостиницы	/category/sight/page/2/	17	"1,00"	00:00:00	"0,00 %"	"100,00 %"
одесса жд вокзал карта	/tag/rajon-vokzala/?map=1	17	"1,88"	00:03:07	"100,00 %"	"70,59 %"
пляж ланжерон одесса	/tag/lanzheron/	17	"2,94"	00:01:30	"70,59 %"	"23,53 %"
поезд донецк одесса расписание	/travel_to_odessa/from-doneck/by_train/	17	"1,53"	00:01:35	"76,47 %"	"64,71 %"
гостиница витязь одесса	/rent/vityaz/	16	"1,31"	00:00:53	"81,25 %"	"68,75 %"
гостиница одесса недорого	/tag/nedorogie-gostinicy/	16	"3,88"	00:02:10	"87,50 %"	"6,25 %"
донецк одесса расписание поездов	/travel_to_odessa/from-doneck/by_train/	16	"1,31"	00:01:43	"75,00 %"	"81,25 %"
достопремечательности одессы	/category/sight/	16	"4,75"	00:03:26	"93,75 %"	"25,00 %"
достопримечательности одессы википедия	/category/sight/	16	"5,44"	00:04:49	"81,25 %"	"31,25 %"
из минска в одессу	/travel_to_odessa/from-minska/by_bus/	16	"1,00"	00:00:00	"12,50 %"	"100,00 %"
итака	/entertainment/itaka/	16	"2,06"	00:00:38	"93,75 %"	"43,75 %"
карта одессы ж д вокзал	/tag/rajon-vokzala/?map=1	16	"3,31"	00:05:48	"81,25 %"	"62,50 %"
ночные клубы одессы	/category/entertainment/disco/	16	"3,75"	00:01:54	"93,75 %"	"31,25 %"
одесса достопримечательности	/category/sight/page/3/	16	"9,00"	00:06:30	"25,00 %"	"37,50 %"
одесса что посмотреть	/category/sight/page/9/	16	"2,50"	00:02:24	"0,00 %"	"87,50 %"
отрада бич клаб одесса	/entertainment/c_otrada/	16	"1,06"	00:00:00	"81,25 %"	"93,75 %"
памятники в одессе	/category/sight/monument/	16	"2,38"	00:01:09	"75,00 %"	"37,50 %"
пляж ланжерон одесса карта	/tag/lanzheron/?map=1	16	"1,88"	00:02:46	"87,50 %"	"56,25 %"
позвонить в одессу из россии	/odessa/kak-pozvonit/	16	"1,38"	00:00:57	"93,75 %"	"75,00 %"
расписание поездов харьков одесса	/travel_to_odessa/from-kharkov/by_train/	16	"1,06"	00:01:08	"87,50 %"	"87,50 %"
автобус донецк одесса	/travel_to_odessa/from-doneck/by_bus/	15	"1,80"	00:03:50	"80,00 %"	"66,67 %"
автобус донецк-одесса	/travel_to_odessa/from-doneck/by_bus/	15	"1,33"	00:00:36	"80,00 %"	"80,00 %"
автобус луганск одесса	/travel_to_odessa/from-lugansk/by_bus/	15	"2,07"	00:01:45	"80,00 %"	"73,33 %"
донецк-одесса расписание поездов	/travel_to_odessa/from-doneck/by_train/	15	"1,13"	00:00:19	"93,33 %"	"86,67 %"
достопримечательности одессы	/category/sight/page/3/	15	"4,67"	00:07:54	"0,00 %"	"53,33 %"
достопримечательности одессы	/category/sight/page/4/	15	"12,27"	00:16:21	"0,00 %"	"6,67 %"
как позвонить из москвы в одессу	/odessa/kak-pozvonit/	15	"1,07"	00:00:03	"80,00 %"	"93,33 %"
ночной клуб ибица одесса	/entertainment/ibiza/	15	"3,13"	00:02:16	"66,67 %"	"60,00 %"
одесса парк шевченко	/tag/park-shevchenko/?map=1	15	"1,40"	00:01:07	"93,33 %"	"80,00 %"
одесса харьков автобус	/travel_to_odessa/from-kharkov/by_bus/	15	"1,13"	00:00:16	"80,00 %"	"86,67 %"
парк шевченко одесса карта	/tag/park-shevchenko/?map=1	15	"1,53"	00:00:28	"80,00 %"	"86,67 %"
пляж ланжерон одесса	/tag/lanzheron/?map=1	15	"2,67"	00:01:38	"73,33 %"	"46,67 %"
район черемушки одесса	/tag/cheremushki/?map=1	15	"1,60"	00:00:59	"80,00 %"	"66,67 %"
расписание маршруток киев одесса	/travel_to_odessa/from-kiev/by_bus/	15	"1,53"	00:01:09	"80,00 %"	"73,33 %"
расписание поездов киев одесса цена	/travel_to_odessa/from-kiev/by_train/	15	"2,07"	00:01:05	"73,33 %"	"66,67 %"
расписание самолетов одесса	/travel_to_odessa/by_plan/	15	"1,33"	00:00:14	"86,67 %"	"93,33 %"
реферат на тему одесса мой город родной	/ob-odesse/odessa-moj-gorod-rodnoj-gimn-odessy/	15	"1,27"	00:00:16	"86,67 %"	"80,00 %"
автобус харьков-одесса	/travel_to_odessa/from-kharkov/by_bus/	14	"1,50"	00:02:00	"57,14 %"	"71,43 %"
гей клуб в одессе	/tag/gej-klub/	14	"2,86"	00:01:24	"85,71 %"	"28,57 %"
достопримечательности одессы	/sight/morvokzal/	14	"7,29"	00:10:25	"7,14 %"	"50,00 %"
достопримечательности одессы	/sight/potemkinskaya-lestnica/	14	"7,21"	00:06:19	"7,14 %"	"64,29 %"
достопримечательности одессы в картинках	/category/sight/	14	"15,36"	00:10:00	"92,86 %"	"0,00 %"
дюк одесса	/sight/duk/	14	"1,29"	00:01:56	"71,43 %"	"78,57 %"
из киева в одессу	/travel_to_odessa/from-kiev/by_bus/	14	"1,43"	00:01:32	"85,71 %"	"57,14 %"
карта одессы с улицами	/?map=1	14	"4,07"	00:01:47	"92,86 %"	"71,43 %"
колоннада одесса	/sight/kolonnada/	14	"1,36"	00:02:03	"78,57 %"	"85,71 %"
одесса	/	14	"7,93"	00:04:50	"71,43 %"	"35,71 %"
одесса достопримечательности фото	/category/sight/?show=photos	14	"2,64"	00:02:39	"85,71 %"	"71,43 %"
одесса карта онлайн	/?map=1	14	"2,71"	00:01:55	"71,43 %"	"42,86 %"
одесса трасса здоровья	/category/sight/streets/	14	"1,00"	00:00:00	"0,00 %"	"100,00 %"
одесские достопримечательности	/category/sight/	14	"11,14"	00:11:50	"100,00 %"	"28,57 %"
парк шевченка одесса	/tag/park-shevchenko/?map=1	14	"1,29"	00:01:07	"92,86 %"	"78,57 %"
потемкинская лестница	/entertainment/arkadia-2/	14	"1,07"	00:01:03	"0,00 %"	"92,86 %"
путеводитель по одессе	/category/sight/	14	"1,43"	00:00:00	"0,00 %"	"100,00 %"
расписание маршруток в одессе	/travel_to_odessa/by_bus/	14	"1,07"	00:00:01	"64,29 %"	"92,86 %"
таирово	/tag/tairova/?map=1	14	"2,21"	00:01:29	"92,86 %"	"64,29 %"
автобус луганск-одесса	/travel_to_odessa/from-lugansk/by_bus/	13	"1,23"	00:03:13	"69,23 %"	"92,31 %"
автобус одесса-симферополь	/travel_to_odessa/by_bus/	13	"1,08"	00:00:33	"69,23 %"	"92,31 %"
дешевые гостиницы в одессе	/tag/deshevye-gostinicy-odessy/	13	"3,46"	00:01:42	"76,92 %"	"15,38 %"
донецк-одесса поезд	/travel_to_odessa/from-doneck/by_train/	13	"1,23"	00:00:41	"84,62 %"	"76,92 %"
достопримечательности одессы	/entertainment/opera/	13	"16,31"	00:17:42	"7,69 %"	"30,77 %"
карта одессы с улицами и номерами домов онлайн	/?map=1	13	"1,08"	00:00:04	"61,54 %"	"92,31 %"
карта одессы таирово	/tag/tairova/?map=1	13	"1,46"	00:02:02	"61,54 %"	"76,92 %"
клуб вестерн	/entertainment/western/	13	"1,31"	00:01:25	"46,15 %"	"69,23 %"
клуб вестерн одесса	/entertainment/western/	13	"1,31"	00:00:08	"69,23 %"	"84,62 %"
межрейсовая база моряков одесса	/rent/mezhrejsovaya-baza-moryakov/	13	"1,31"	00:00:08	"84,62 %"	"84,62 %"
одесса симферополь автобус	/travel_to_odessa/by_bus/	13	"1,31"	00:00:16	"92,31 %"	"92,31 %"
песни про одессу	/odessa/pesni/	13	"1,31"	00:00:35	"76,92 %"	"84,62 %"
поезд киев одесса расписание	/travel_to_odessa/from-kiev/by_train/	13	"1,23"	00:00:17	"84,62 %"	"84,62 %"
поезд луганск-одесса	/travel_to_odessa/from-lugansk/by_train/	13	"1,00"	00:00:00	"84,62 %"	"100,00 %"
расписание автобус маршрутное такси одесса бендеры	/travel_to_odessa/by_bus/	13	"1,00"	00:00:00	"0,00 %"	"100,00 %"
расписание автобусов одесса-херсон	/travel_to_odessa/by_bus/	13	"1,00"	00:00:00	"84,62 %"	"100,00 %"
расписание поездов из киева в одессу	/travel_to_odessa/from-kiev/by_train/	13	"1,31"	00:01:23	"61,54 %"	"84,62 %"
улицы одессы	/category/sight/streets/	13	"2,46"	00:01:13	"76,92 %"	"69,23 %"
